Genes	N.Sequences	N.Proteotypic.Sequences	raw1/T064137_AurEl8_PM8_DIAIMP_CMB-1719_helalis_1_RD2_1_11076.d	raw1/T064139_AurEl8_PM8_DIAIMP_CMB-1719_helalis_2_RD3_1_11078.d
IKBKE	1	1		30964
ILF2	1	1	95620.8	
IMPA1	1	1	162745	239244
IMPDH1;IMPDH2	1	0		27172.1
INF2	2	2	25314	15997.9
INIP	1	1		6171.78
INTS1	1	1		19496.4
INTS10	1	1		15623.7
INTS3	1	1		16797.5
INTS6	1	1		130353
INTS9	1	1	185728	
IP6K2	1	1		15827.7
IPO4	2	2	26261.8	
IPO7	1	1		6738.82
IPO8	1	1		8065.47
IQCA1	1	1	120873	175271
IREB2	1	1	75872.2	
ITCH	1	1		9203.37
ITGA5	2	2	64979.8	77759.4
ITGA6	2	2	26331	24603.5
ITGAV	3	3	597370	1.07692e+06
ITGB1	3	3	57640.5	142703
ITPR1	1	1		17093.5
ITPR3	3	3		25030.6
ITPRIP	1	1		43994.6
JAGN1	1	1		9140.42
JMJD1C	1	1	68355.5	92087.9
JMJD8	2	2	51849.8	51321.6
JUN	1	1		27005.7
JUP	8	5	115806	72663.9
KANSL1	2	2		48949.8
KAT2A	1	1		9027.47
KATNB1	1	1		27960
KCNG1	1	1		352012
KCNH1	1	1		7592.85
KCT2	1	1	65695	54007.5
KCTD10;TNFAIP1	2	0	686767	1.13334e+06
KCTD13	1	1		120161
KDM1A	1	1	114807	82723.3
KDM3B	1	1	102961	145508
KDM5A	1	1	43097.4	78305.2
KGD4	1	1	206430	629557
KIAA1143	1	1		63529.1
KIF20A	1	1		17175.8
KIF20B	3	3	208166	208754
KIF2C	3	3	263258	143067
KIFAP3	1	1	56283.4	55450.9
KIFBP	1	1		18436.3
KLHL18	2	2		211084
KMT2C	2	2		13063.3
KNL1	1	1	28606.1	27439.7
KNSTRN	1	1		28769.9
KRT1	59	47	568577	69300.2
KRT10	26	17	469905	95027.6
KRT14	3	1	58223.7	
KRT16	2	2	20656.1	
KRT17;Krt17	1	0		7219.72
KRT19	1	0		67303.4
KRT2	23	12	157393	13335.6
KRT23	1	1	25296.3	
KRT5	11	4	160017	
