Genes	N.Sequences	N.Proteotypic.Sequences	raw1/T064137_AurEl8_PM8_DIAIMP_CMB-1719_helalis_1_RD2_1_11076.d	raw1/T064139_AurEl8_PM8_DIAIMP_CMB-1719_helalis_2_RD3_1_11078.d
MELK	1	1	1.13243e+06	1.3737e+06
MET	2	2	102501	125307
METAP2	1	1		23797.3
METTL13	1	1		21461.5
METTL9	1	1		56232.8
MEX3D	1	1		7019.65
MFAP1	3	3	18968.7	25184.5
MFHAS1	2	2		28074.9
MFN2	1	1		16215
MFSD1	2	2	84442	109866
MFSD14A	1	1	30288.5	63226.3
MFSD14B	1	1		130458
MGA	1	1	112430	186567
MGAT5B	1	1		17986.9
MGMT	1	1		738851
MGRN1	2	2	62518.9	67316.8
MGST1	1	1		15695
MICU1	2	2		16822.6
MIEF1	2	2	33931.2	75488.6
MISP	2	2		20007.1
MITD1	1	1		8234.91
MKRN2	1	1		18496.6
MLEC	1	1	241372	251352
MLH1	3	3		891392
MLX	1	1		83794.1
MNAT1	1	1		15314.8
MOB3A	1	1	157679	507169
MOB3C	1	1		119379
MOCS2	1	1		15066.5
MOGS	1	1	68385	40543
MORF4L1	1	1	66593.5	118493
MOV10	2	2		8027.85
MPC1	1	1		94036.2
MPDZ	1	1	24612	19324.3
MPO	1	1	9176.06	
