Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	raw1/T064137_AurEl8_PM8_DIAIMP_CMB-1719_helalis_1_RD2_1_11076.d	raw1/T064139_AurEl8_PM8_DIAIMP_CMB-1719_helalis_2_RD3_1_11078.d
Q9NQQ7	S35C2_HUMAN	SLC35C2	Solute carrier family 35 member C2	1	1	742600	559688
Q9NQS3	NECT3_HUMAN	NECTIN3	Nectin-3	1	1	93127.2	
Q9NR09	BIRC6_HUMAN	BIRC6	Dual E2 ubiquitin-conjugating enzyme/E3 ubiquitin-protein ligase BIRC6	6	6	302058	414670
Q9NR31	SAR1A_HUMAN	SAR1A	Small COPII coat GTPase SAR1A	1	1		56748.5
Q9NRL2	BAZ1A_HUMAN	BAZ1A	Bromodomain adjacent to zinc finger domain protein 1A	2	2	98363.4	128708
Q9NRN7	ADPPT_HUMAN	AASDHPPT	L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	1	1	55318.9	39419.4
Q9NRR4	RNC_HUMAN	DROSHA	Ribonuclease 3	3	3	149140	112154
Q9NS93	TM7S3_HUMAN	TM7SF3	Transmembrane 7 superfamily member 3	1	1	244472	
Q9NTJ3	SMC4_HUMAN	SMC4	Structural maintenance of chromosomes protein 4	2	2	17729.2	33775.3
Q9NV06	DCA13_HUMAN	DCAF13	DDB1- and CUL4-associated factor 13	1	1	25392.2	18783.9
Q9NVV5	AIG1_HUMAN	AIG1	Androgen-induced gene 1 protein	1	1		35184.3
Q9NW08	RPC2_HUMAN	POLR3B	DNA-directed RNA polymerase III subunit RPC2	1	1	112566	74670.7
Q9NW15	ANO10_HUMAN	ANO10	Anoctamin-10	1	1	169654	
Q9NW68	BSDC1_HUMAN	BSDC1	BSD domain-containing protein 1	1	1	200746	165216
Q9NX24	NHP2_HUMAN	NHP2	H/ACA ribonucleoprotein complex subunit 2	1	1	35648.4	60066.7
Q9NXB0	MKS1_HUMAN	MKS1	Tectonic-like complex member MKS1	1	1	67772.5	127294
Q9NXF8	ZDHC7_HUMAN	ZDHHC7	Palmitoyltransferase ZDHHC7	1	1		66897.6
Q9NXH9	TRM1_HUMAN	TRMT1	tRNA (guanine(26)-N(2))-dimethyltransferase	1	1		188460
Q9NY27	PP4R2_HUMAN	PPP4R2	Serine/threonine-protein phosphatase 4 regulatory subunit 2	1	1	13996.3	40992.7
Q9NYU2	UGGG1_HUMAN	UGGT1	UDP-glucose:glycoprotein glucosyltransferase 1	1	1		90947.2
Q9NZG7	NINJ2_HUMAN	NINJ2	Ninjurin-2	1	1		43811
Q9NZJ6	COQ3_HUMAN	COQ3	Ubiquinone biosynthesis O-methyltransferase, mitochondrial	1	1		18743.4
Q9NZN8	CNOT2_HUMAN	CNOT2	CCR4-NOT transcription complex subunit 2	1	1		26583.8
Q9NZV5	SELN_HUMAN	SELENON	Selenoprotein N	1	1	415766	1.15909e+06
Q9P035	HACD3_HUMAN	HACD3	Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 3	1	1	155734	372502
Q9P055	JKAMP_HUMAN	JKAMP	JNK1/MAPK8-associated membrane protein	2	2	77901.2	127657
Q9P0I2	EMC3_HUMAN	EMC3	ER membrane protein complex subunit 3	1	1		24234.1
Q9P0T7	TMEM9_HUMAN	TMEM9	Proton-transporting V-type ATPase complex assembly regulator TMEM9	1	1		45578.1
Q9P265	DIP2B_HUMAN	DIP2B	Disco-interacting protein 2 homolog B	1	1	150086	271701
Q9P2N6	KANL3_HUMAN	KANSL3	KAT8 regulatory NSL complex subunit 3	1	1	161608	297517
Q9P2N7	KLH13_HUMAN	KLHL13	Kelch-like protein 13	1	0	21101.9	33624.4
Q9P2P1	NYNRI_HUMAN	NYNRIN	Protein NYNRIN	1	1		124729
Q9P2S5	WRP73_HUMAN	WRAP73	WD repeat-containing protein WRAP73	1	1	703276	872623
Q9UBE0	SAE1_HUMAN	SAE1	SUMO-activating enzyme subunit 1	1	1	22275.6	18449.2
Q9UBK8	MTRR_HUMAN	MTRR	Methionine synthase reductase	1	1	312991	257642
Q9UBL3	ASH2L_HUMAN	ASH2L	Set1/Ash2 histone methyltransferase complex subunit ASH2	1	1	49585.4	82923.1
Q9UBM7	DHCR7_HUMAN	DHCR7	7-dehydrocholesterol reductase	1	1		134329
Q9UBQ0	VPS29_HUMAN	VPS29	Vacuolar protein sorting-associated protein 29	1	1	141112	294636
Q9UBQ5	EIF3K_HUMAN	EIF3K	Eukaryotic translation initiation factor 3 subunit K	1	1		31703.7
Q9UBQ7	GRHPR_HUMAN	GRHPR	Glyoxylate reductase/hydroxypyruvate reductase	1	1	360977	364074
Q9UBX3	DIC_HUMAN	SLC25A10	Mitochondrial dicarboxylate carrier	1	1		17135.5
Q9UEE5	ST17A_HUMAN	STK17A	Serine/threonine-protein kinase 17A	1	1		2983.92
Q9UEY8	ADDG_HUMAN	ADD3	Gamma-adducin	1	1	172982	58286.9
Q9UHP3	UBP25_HUMAN	USP25	Ubiquitin carboxyl-terminal hydrolase 25	1	1	14910.9	
Q9UHW5	GPN3_HUMAN	GPN3	GPN-loop GTPase 3	1	1		68774.8
Q9UIX4	KCNG1_HUMAN	KCNG1	Voltage-gated potassium channel regulatory subunit KCNG1	1	1		46223.8
Q9UJ83	HACL1_HUMAN	HACL1	2-hydroxyacyl-CoA lyase 1	1	1	50403.7	
Q9UJJ9	GNPTG_HUMAN	GNPTG	N-acetylglucosamine-1-phosphotransferase subunit gamma	1	1		68081.2
Q9UJX2	CDC23_HUMAN	CDC23	Cell division cycle protein 23 homolog	1	1	59774.4	
Q9UJX4	APC5_HUMAN	ANAPC5	Anaphase-promoting complex subunit 5	1	1	45480	41426.5
Q9UK41	VPS28_HUMAN	VPS28	Vacuolar protein sorting-associated protein 28 homolog	1	1	186476	
Q9UKA4	AKA11_HUMAN	AKAP11	A-kinase anchor protein 11	1	1		67284.1
Q9UKF6	CPSF3_HUMAN	CPSF3	Cleavage and polyadenylation specificity factor subunit 3	1	1	4.63141e+06	2.08305e+06
Q9UKI2	BORG2_HUMAN	CDC42EP3	Cdc42 effector protein 3	1	1	41752	44199.4
Q9UKM7	MA1B1_HUMAN	MAN1B1	Endoplasmic reticulum mannosyl-oligosaccharide 1,2-alpha-mannosidase	1	1	35333.8	
Q9UKN8	TF3C4_HUMAN	GTF3C4	General transcription factor 3C polypeptide 4	1	1	197065	
Q9UL01	DSE_HUMAN	DSE	Dermatan-sulfate epimerase	1	1	32988.2	110046
Q9UL63	MKLN1_HUMAN	MKLN1	Muskelin	1	1	77270.8	77401.1
Q9ULI2	RIMKB_HUMAN	RIMKLB	Beta-citrylglutamate synthase B	1	1	279968	1.01002e+06
Q9ULW0	TPX2_HUMAN	TPX2	Targeting protein for Xklp2	1	1		33635.8
Q9UM22	EPDR1_HUMAN	EPDR1	Mammalian ependymin-related protein 1	1	1	345617	436921
Q9UM82	SPAT2_HUMAN	SPATA2	Spermatogenesis-associated protein 2	1	1		43191.4
Q9UMS0	NFU1_HUMAN	NFU1	NFU1 iron-sulfur cluster scaffold homolog, mitochondrial	1	1		14678
Q9UN88	GBRT_HUMAN	GABRQ	Gamma-aminobutyric acid receptor subunit theta	1	1		20326.1
Q9UNH6	SNX7_HUMAN	SNX7	Sorting nexin-7	1	1		14182.4
Q9UNL2	SSRG_HUMAN	SSR3	Translocon-associated protein subunit gamma	2	2		63918.9
Q9UNN5	FAF1_HUMAN	FAF1	FAS-associated factor 1	1	1	83864.6	
Q9UPT8	ZC3H4_HUMAN	ZC3H4	Zinc finger CCCH domain-containing protein 4	1	1		5270.16
Q9UPU7	TBD2B_HUMAN	TBC1D2B	TBC1 domain family member 2B	1	1		5346.32
Q9UPY5	XCT_HUMAN	SLC7A11	Cystine/glutamate transporter	1	1	249619	342888
Q9UQ80	PA2G4_HUMAN	PA2G4	Proliferation-associated protein 2G4	3	3	2.56829e+06	2.10077e+06
Q9UQ84	EXO1_HUMAN	EXO1	Exonuclease 1	1	1		7373.83
Q9UQK1	PPR3C_HUMAN	PPP1R3C	Protein phosphatase 1 regulatory subunit 3C	1	1	156256	828133
Q9Y224	RTRAF_HUMAN	RTRAF	RNA transcription, translation and transport factor protein	1	1	461100	
Q9Y241	HIG1A_HUMAN	HIGD1A	HIG1 domain family member 1A, mitochondrial	1	1	33840	71861.8
Q9Y265	RUVB1_HUMAN	RUVBL1	RuvB-like 1	1	1	153144	327071
Q9Y289	SC5A6_HUMAN	SLC5A6	Sodium-dependent multivitamin transporter	1	1	56715.8	145673
Q9Y2E4	DIP2C_HUMAN	DIP2C	Disco-interacting protein 2 homolog C	1	1		17153.7
Q9Y2F5	ICE1_HUMAN	ICE1	Little elongation complex subunit 1	1	1	587560	1.22837e+06
Q9Y2G9	SBNO2_HUMAN	SBNO2	Protein strawberry notch homolog 2	1	1	36299.4	71570.4
Q9Y2H2	SAC2_HUMAN	INPP5F	Phosphatidylinositide phosphatase SAC2	1	1		22715.5
Q9Y2L8	ZKSC5_HUMAN	ZKSCAN5	Zinc finger protein with KRAB and SCAN domains 5	1	1		59905.3
Q9Y2R5	RT17_HUMAN	MRPS17	Small ribosomal subunit protein uS17m	1	1	73288.4	27870.1
Q9Y2U9	KLDC2_HUMAN	KLHDC2	Kelch domain-containing protein 2	1	1		37473.4
Q9Y2V0	CDIN1_HUMAN	CDIN1	CDAN1-interacting nuclease 1	1	1	197619	312575
Q9Y2X3	NOP58_HUMAN	NOP58	Nucleolar protein 58	1	1		37668
Q9Y324	FCF1_HUMAN	FCF1	rRNA-processing protein FCF1 homolog	1	1		39124
Q9Y330	ZBT12_HUMAN	ZBTB12	Zinc finger and BTB domain-containing protein 12	1	1	155198	132771
Q9Y376	CAB39_HUMAN	CAB39	Calcium-binding protein 39	1	1	75366.4	143154
Q9Y3P9	RBGP1_HUMAN	RABGAP1	Rab GTPase-activating protein 1	2	2		252938
Q9Y3Q3	TMED3_HUMAN	TMED3	Transmembrane emp24 domain-containing protein 3	1	1		15251.9
Q9Y3S2	ZN330_HUMAN	ZNF330	Zinc finger protein 330	1	1	37525.2	
Q9Y3T9	NOC2L_HUMAN	NOC2L	Nucleolar complex protein 2 homolog	1	1	642258	227474
Q9Y450	HBS1L_HUMAN	HBS1L	HBS1-like protein	1	1		83496.4
Q9Y490	TLN1_HUMAN	TLN1	Talin-1	3	2	70384.5	123986
Q9Y4B4	ARIP4_HUMAN	RAD54L2	Helicase ARIP4	1	1		11071.9
Q9Y4F5	C170B_HUMAN	CEP170B	Centrosomal protein of 170 kDa protein B	1	1		48145.8
Q9Y4W6	AFG32_HUMAN	AFG3L2	Mitochondrial inner membrane m-AAA protease component AFG3L2	1	1	19642.8	
Q9Y573	IPP_HUMAN	IPP	Actin-binding protein IPP	1	1	70547.7	58145.4
Q9Y575	ASB3_HUMAN	ASB3	Ankyrin repeat and SOCS box protein 3	1	1	70974.2	155682
Q9Y5A9	YTHD2_HUMAN	YTHDF2	YTH domain-containing family protein 2	2	2		72303.5
Q9Y5K8	VATD_HUMAN	ATP6V1D	V-type proton ATPase subunit D	1	1		30068
Q9Y5M8	SRPRB_HUMAN	SRPRB	Signal recognition particle receptor subunit beta	1	1	798170	685592
Q9Y5P4	CERT_HUMAN	CERT1	Ceramide transfer protein	1	1	135265	145964
Q9Y5P6	GMPPB_HUMAN	GMPPB	Mannose-1-phosphate guanylyltransferase catalytic subunit beta	1	1		36708.6
Q9Y5Y0	FLVC1_HUMAN	FLVCR1	Choline/ethanolamine transporter FLVCR1	1	1	64909.6	57493.8
Q9Y5Z9	UBIA1_HUMAN	UBIAD1	UbiA prenyltransferase domain-containing protein 1	1	1		37730.4
Q9Y672	ALG6_HUMAN	ALG6	Dolichyl pyrophosphate Man9GlcNAc2 alpha-1,3-glucosyltransferase	1	1		20509.7
Q9Y679	AUP1_HUMAN	AUP1	Lipid droplet-regulating VLDL assembly factor AUP1	1	1		20017
Q9Y6B6	SAR1B_HUMAN	SAR1B	Small COPII coat GTPase SAR1B	1	1		29915.3
Q9Y6B7	AP4B1_HUMAN	AP4B1	AP-4 complex subunit beta-1	1	1	94320.4	52314
Q9Y6C9	MTCH2_HUMAN	MTCH2	Mitochondrial carrier homolog 2	1	1		50874.4
Q9Y6N6	LAMC3_HUMAN	LAMC3	Laminin subunit gamma-3	1	1		31361.5
Q9Y6X9	MORC2_HUMAN	MORC2	ATPase MORC2	1	1	377246	445107
